"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"588",138,1612,145,0,1874,0,978,514,162
"589",152,1648,149,0,1930,0,1044,523,156
"590",159,1621,152,0,1876,0,997,506,165
"591",142,1605,149,0,1848,0,978,510,160
"592",144,1605,153,0,1841,0,960,513,167
"593",142,1631,141,0,1846,0,942,518,152
"594",151,1619,143,0,1847,0,975,529,153
"595",148,1608,138,0,1850,0,979,521,153
"596",147,1611,141,0,1870,0,962,542,163
"597",139,1575,155,0,1876,0,954,543,164
"598",143,1604,154,0,1864,0,937,544,166
"599",137,1609,151,0,1882,0,931,569,163
"600",139,1577,153,0,1871,0,921,562,160
"601",143,1601,148,0,1873,0,936,545,163
"602",144,1610,154,0,1904,0,942,558,156
"603",149,1612,155,0,1859,0,949,576,152
"604",157,1609,148,0,1874,0,931,567,147
"605",157,1609,148,0,1875,0,973,562,150
"606",157,1589,156,0,1840,0,964,555,154
"607",161,1609,151,0,1856,0,969,552,151
"608",156,1565,136,0,1826,0,937,548,159
"609",150,1614,143,0,1837,0,936,553,154
"610",161,1601,140,0,1804,0,983,547,147
"611",150,1579,146,0,1814,0,978,548,153
"612",163,1588,143,0,1851,0,984,560,149
"613",165,1592,147,0,1857,0,968,548,140
"614",161,1586,151,0,1829,0,989,547,144
"615",163,1621,155,0,1884,0,985,542,143
"616",167,1605,150,0,1887,0,941,573,145
"617",173,1601,156,0,1866,0,931,560,155
"618",167,1594,149,0,1883,0,954,568,156
"619",168,1586,158,0,1905,0,951,579,157
"620",177,1599,149,0,1900,0,935,561,158
"621",174,1575,143,0,1933,0,940,565,153
"622",180,1588,148,0,1915,0,949,582,148
"623",183,1582,147,0,1821,0,953,585,152
"624",189,1582,145,0,1855,0,923,574,154
"625",191,1625,138,0,1887,0,922,578,143
"626",175,1589,134,0,1885,0,957,582,140
"627",179,1568,122,0,1867,0,943,556,144
"628",172,1603,126,0,1859,0,965,562,152
"629",181,1612,120,0,1891,0,940,549,146
"630",183,1608,122,0,1876,0,939,558,148
"631",184,1617,126,0,1881,0,961,540,155
"632",179,1612,124,0,1893,0,925,560,154
"633",177,1600,125,0,1882,0,940,585,156
"634",181,1596,134,0,1867,0,950,577,161
"635",175,1589,126,0,1854,0,950,593,161
"636",172,1575,134,0,1877,0,945,579,160
"637",170,1595,129,0,1886,0,943,591,157
"638",169,1606,128,0,1876,0,949,588,160
"639",174,1617,129,0,1874,0,944,555,159
"640",167,1595,131,0,1895,0,947,587,156
"641",166,1588,134,0,1855,0,945,570,166
"642",163,1582,132,0,1890,0,914,578,168
"643",178,1599,129,0,1878,0,935,566,163
"644",191,1590,130,0,1904,0,954,578,166
"645",181,1583,132,0,1876,0,963,571,162
"646",171,1627,130,0,1889,0,944,567,161
"647",172,1643,134,0,1911,0,928,583,162
"648",167,1609,129,0,1891,0,937,574,156
"649",158,1607,120,0,1895,0,888,570,160
"650",163,1595,124,0,1880,0,926,542,162
"651",161,1614,135,0,1844,0,902,557,161
"652",170,1631,127,0,1870,0,942,577,166
"653",172,1620,127,0,1852,0,942,553,160
"654",183,1616,129,0,1859,0,912,564,158
"655",177,1590,129,0,1872,0,900,557,153
"656",176,1583,130,0,1872,0,918,578,151
"657",178,1611,131,0,1887,0,934,555,157
"658",175,1608,139,0,1867,0,950,549,160
"659",171,1584,135,0,1879,0,919,562,167
"660",165,1559,139,0,1882,0,946,566,158
"661",157,1578,137,0,1882,0,951,560,156
"662",154,1616,144,0,1865,0,941,545,154
"663",157,1595,151,0,1862,0,931,566,150
"664",165,1604,144,0,1870,0,952,573,160
"665",157,1596,140,0,1888,0,965,573,158
"666",167,1603,147,0,1863,0,981,572,158
"667",162,1613,150,0,1814,0,977,568,162
"668",166,1633,139,0,1896,0,958,563,152
"669",170,1611,126,0,1881,0,942,555,154
"670",173,1603,128,0,1859,0,948,552,155
"671",184,1548,131,0,1864,0,944,563,154
"672",179,1611,138,0,1871,0,957,552,160
"673",175,1588,138,0,1902,0,947,552,154
"674",173,1596,138,0,1903,0,955,553,149
"675",153,1578,150,0,1864,0,921,552,158
"676",157,1610,151,0,1871,0,937,537,164
"677",156,1626,137,0,1886,0,951,534,158
"678",155,1614,140,0,1878,0,933,529,162
"679",164,1591,135,0,1870,0,940,517,156
"680",160,1585,143,0,1836,0,925,515,158
"681",161,1568,143,0,1827,0,941,504,144
"682",167,1586,134,0,1867,0,907,536,142
"683",170,1619,141,0,1849,0,939,530,148
"684",183,1600,148,0,1876,0,963,525,154
"685",168,1613,157,0,1910,0,986,541,165
"686",161,1618,149,0,1919,0,937,548,162
"687",166,1594,153,0,1891,0,948,533,157
"688",163,1614,157,0,1915,0,924,549,163
"689",169,1578,146,0,1895,0,946,530,167
"690",159,1605,148,0,1869,0,966,552,159
"691",158,1606,144,0,1850,0,990,536,152
"692",163,1639,156,0,1896,0,973,550,158
"693",161,1644,153,0,1870,0,953,572,153
"694",171,1613,150,0,1892,0,943,558,161
"695",164,1639,151,0,1883,0,931,578,157
"696",176,1611,139,0,1854,0,932,587,160
"697",174,1577,134,0,1870,0,937,571,147
"698",173,1593,134,0,1891,0,943,575,144
"699",169,1581,146,0,1852,0,942,556,157
"700",173,1601,143,0,1882,0,890,558,166
"701",162,1605,162,0,1895,0,916,551,154
"702",162,1612,153,0,1873,0,916,560,165
"703",166,1625,148,0,1887,0,958,558,161
"704",160,1620,145,0,1918,0,953,530,160
"705",155,1626,135,0,1874,0,951,526,157
"706",157,1617,130,0,1858,0,929,524,164
"707",159,1592,131,0,1888,0,901,554,163
"708",152,1596,134,0,1888,0,898,566,163
"709",154,1623,141,0,1922,0,913,566,158
"710",155,1630,136,0,1917,0,930,569,157
"711",154,1616,129,0,1870,0,938,560,154
"712",154,1584,125,0,1897,0,967,549,154
"713",150,1629,127,0,1880,0,960,522,148
"714",151,1636,132,0,1879,0,985,529,159
"715",146,1617,145,0,1867,0,944,507,152
"716",142,1624,137,0,1889,0,929,543,162
"717",139,1649,142,0,1882,0,958,558,166
"718",145,1619,138,0,1840,0,966,535,162
"719",152,1637,142,0,1871,0,938,536,160
"720",152,1629,146,0,1904,0,930,524,159
"721",146,1628,138,0,1923,0,962,504,149
"722",148,1642,148,0,1881,0,958,516,153
"723",144,1637,140,0,1852,0,955,499,154
"724",127,1652,134,0,1881,0,935,509,154
"725",131,1671,139,0,1863,0,920,505,162
"726",145,1675,133,0,1867,0,915,512,161
"727",150,1634,146,0,1886,0,920,522,152
"728",146,1639,145,0,1910,0,936,526,145
"729",136,1631,152,0,1885,0,917,530,155
"730",135,1656,138,0,1866,0,929,528,149
"731",141,1704,140,0,1853,0,957,538,159
"732",142,1646,131,0,1883,0,960,534,160
"733",151,1648,116,0,1877,0,926,563,152
"734",159,1656,102,0,1871,0,906,539,153
"735",145,1660,94,0,1894,0,903,555,152
"736",145,1652,112,0,1900,0,922,562,156
"737",142,1638,115,0,1906,0,957,545,152
"738",134,1611,120,0,1933,0,969,561,151
"739",146,1631,128,0,1891,0,1004,550,150
"740",151,1673,131,0,1925,0,993,534,161
"741",145,1628,126,0,1926,0,952,540,158
"742",152,1641,125,0,1876,0,945,529,164
"743",153,1660,123,0,1874,0,1002,544,163
"744",156,1641,126,0,1872,0,1015,532,163
"745",167,1645,115,0,1910,0,1015,533,170
"746",164,1635,115,0,1899,0,1021,535,166
"747",160,1648,119,0,1853,0,993,541,165
"748",148,1641,127,0,1852,0,963,527,161
"749",159,1627,128,0,1898,0,960,531,161
"750",150,1624,135,0,1834,0,997,518,159
"751",157,1619,133,0,1853,0,976,544,158
"752",153,1605,141,0,1865,0,976,534,155
"753",160,1588,134,0,1858,0,960,544,160
"754",149,1606,134,0,1872,0,945,539,158
"755",166,1584,141,0,1813,0,967,551,160
"756",162,1621,135,0,1830,0,974,551,149
"757",159,1600,124,0,1846,0,938,572,154
"758",162,1611,127,0,1834,0,955,557,155
"759",153,1613,131,0,1838,0,938,556,145
"760",158,1610,137,0,1824,0,942,580,139
"761",154,1603,141,0,1870,0,943,583,151
"762",154,1613,144,0,1867,0,951,589,153
"763",154,1643,133,0,1883,0,964,584,165
"764",140,1583,129,0,1872,0,941,572,162
"765",142,1620,133,0,1879,0,945,572,158
"766",151,1627,156,0,1876,0,969,585,150
"767",154,1596,145,0,1843,0,946,576,157
"768",152,1573,157,0,1839,0,952,588,153
"769",147,1605,149,0,1893,0,961,589,147
"770",151,1617,138,0,1923,0,923,589,154
"771",147,1643,141,0,1893,0,937,587,151
"772",150,1603,144,0,1857,0,944,592,146
"773",144,1586,148,0,1845,0,931,606,152
"774",142,1608,148,0,1865,0,929,592,152
"775",141,1564,142,0,1870,0,931,592,156
"776",136,1611,142,0,1866,0,932,594,157
"777",142,1610,143,0,1861,0,921,586,150
"778",149,1633,134,0,1858,0,914,618,160
"779",145,1581,125,0,1841,0,906,602,156
"780",139,1593,134,0,1884,0,883,606,156
"781",147,1630,128,0,1886,0,877,605,156
"782",144,1590,131,0,1882,0,830,603,159
"783",146,1627,124,0,1895,0,819,600,157
"784",153,1627,130,0,1858,0,870,636,159
"785",155,1668,139,0,1853,0,928,639,156
"786",156,1659,137,0,1889,0,944,620,150
"787",165,1663,146,0,1881,0,883,629,154
"788",167,1674,149,0,1848,0,919,642,158
"789",163,1682,139,0,1821,0,918,625,164
"790",156,1660,134,0,1825,0,907,616,166
"791",145,1640,138,0,1855,0,916,616,161
"792",138,1630,143,0,1827,0,940,622,163
"793",140,1652,134,0,1853,0,926,613,162
"794",144,1617,136,0,1888,0,947,587,162
"795",152,1615,128,0,1912,0,937,589,152
"796",154,1628,131,0,1893,0,933,579,156
"797",147,1602,132,0,1889,0,920,577,152
"798",148,1643,133,0,1884,0,927,607,151
"799",147,1621,123,0,1878,0,939,603,152
"800",160,1630,133,0,1853,0,934,586,151
"801",152,1617,139,0,1867,0,941,589,153
"802",147,1637,135,0,1847,0,948,588,150
"803",151,1620,141,0,1894,0,926,595,150
"804",160,1608,136,0,1879,0,938,577,150
"805",152,1620,139,0,1858,0,957,568,150
"806",150,1625,145,0,1817,0,968,575,146
"807",158,1653,142,0,1879,0,939,570,153
"808",158,1599,133,0,1896,0,903,571,152
"809",166,1614,129,0,1880,0,889,567,141
"810",155,1572,132,0,1878,0,941,557,148
"811",149,1581,125,0,1869,0,989,587,144
"812",157,1623,138,0,1876,0,966,569,144
"813",159,1618,133,0,1897,0,954,568,157
"814",152,1606,136,0,1902,0,949,554,164
"815",151,1638,130,0,1885,0,965,560,159
"816",147,1614,130,0,1888,0,963,574,163
"817",152,1620,128,0,1894,0,970,545,162
"818",156,1605,119,0,1882,0,977,529,161
"819",172,1617,124,0,1869,0,981,549,156
"820",159,1616,125,0,1887,0,981,548,153
"821",155,1650,120,0,1879,0,1001,558,155
"822",159,1659,122,0,1907,0,951,561,155
"823",153,1651,127,0,1910,0,925,559,158
"824",141,1638,131,0,1858,0,940,544,151
"825",135,1656,123,0,1874,0,992,545,151
"826",143,1646,130,0,1907,0,981,541,146
"827",133,1642,139,0,1873,0,971,549,141
"828",140,1663,139,0,1877,0,956,527,157
"829",143,1688,132,0,1843,0,954,555,161
"830",143,1675,132,0,1870,0,970,549,162
"831",149,1620,136,0,1894,0,977,559,152
"832",138,1632,135,0,1895,0,947,588,150
"833",144,1635,145,0,1902,0,982,562,151
"834",138,1667,135,0,1888,0,976,545,155
"835",142,1665,137,0,1883,0,960,546,154
"836",130,1656,139,0,1874,0,924,558,152
"837",125,1685,130,0,1898,0,943,557,157
"838",141,1636,134,0,1879,0,937,559,159
"839",133,1622,135,0,1864,0,972,550,158
"840",132,1652,148,0,1859,0,984,549,161
"841",130,1647,155,0,1903,0,955,563,156
"842",134,1630,164,0,1889,0,931,561,161
"843",136,1643,162,0,1912,0,949,565,155
"844",130,1638,168,0,1877,0,929,581,146
"845",127,1622,157,0,1933,0,923,570,155
"846",123,1645,162,0,1900,0,941,582,142
"847",131,1642,156,0,1894,0,951,582,151
"848",133,1623,144,0,1880,0,965,562,154
"849",140,1591,145,0,1878,0,975,568,153
"850",137,1640,143,0,1933,0,967,564,148
"851",143,1605,150,0,1915,0,971,569,156
"852",150,1612,144,0,1880,0,968,590,156
"853",148,1627,140,0,1831,0,944,581,153
"854",137,1616,142,0,1881,0,965,584,158
"855",143,1614,154,0,1864,0,959,564,159
"856",150,1625,150,0,1851,0,940,562,159
"857",150,1602,146,0,1855,0,897,588,155
"858",147,1608,141,0,1874,0,934,607,160
"859",144,1596,150,0,1921,0,924,598,150
"860",150,1626,147,0,1886,0,936,581,159
"861",155,1604,155,0,1898,0,946,563,161
"862",147,1604,161,0,1920,0,922,583,163
"863",153,1635,160,0,1914,0,932,567,157
"864",143,1662,151,0,1890,0,933,568,159
"865",133,1617,149,0,1852,0,917,578,157
"866",133,1612,149,0,1844,0,940,568,156
"867",146,1640,147,0,1845,0,959,575,156
"868",147,1623,148,0,1855,0,953,599,155
"869",146,1642,144,0,1864,0,918,568,152
"870",146,1624,140,0,1890,0,957,581,150
"871",152,1595,136,0,1896,0,965,572,152
"872",151,1595,138,0,1903,0,941,570,150
"873",156,1609,138,0,1865,0,939,567,152
"874",160,1645,129,0,1815,0,933,577,155
"875",151,1634,132,0,1842,0,875,585,149
"876",147,1621,136,0,1814,0,906,582,148
"877",153,1608,136,0,1840,0,921,580,158
"878",142,1608,137,0,1885,0,896,585,152
"879",153,1649,144,0,1892,0,917,586,154
"880",159,1629,137,0,1871,0,901,587,154
"881",149,1636,140,0,1872,0,915,588,163
"882",142,1606,140,0,1910,0,908,570,153
"883",139,1621,135,0,1918,0,907,565,154
"884",142,1618,130,0,1889,0,885,581,152
"885",152,1664,129,0,1851,0,923,594,156
"886",163,1671,122,0,1861,0,930,581,160
"887",165,1638,126,0,1890,0,921,583,148
"888",154,1613,124,0,1890,0,956,585,150
"889",156,1609,128,0,1895,0,963,574,151
"890",150,1646,130,0,1885,0,971,581,154
"891",150,1609,132,0,1870,0,951,596,154
"892",153,1613,127,0,1874,0,962,593,152
"893",155,1612,147,0,1903,0,974,588,155
"894",148,1626,140,0,1876,0,980,576,152
"895",141,1612,151,0,1841,0,961,576,148
"896",134,1619,150,0,1887,0,913,605,155
"897",147,1623,138,0,1888,0,941,580,154
"898",147,1631,141,0,1901,0,934,580,155
"899",153,1616,142,0,1893,0,950,607,154
"900",166,1599,133,0,1906,0,918,591,156
"901",153,1634,142,0,1881,0,899,593,147
"902",148,1603,134,0,1867,0,894,612,145
"903",135,1640,135,0,1894,0,932,596,150
"904",149,1643,139,0,1889,0,932,570,149
"905",139,1656,144,0,1856,0,916,565,154
"906",143,1665,145,0,1886,0,912,558,149
"907",137,1658,155,0,1830,0,880,590,147
"908",127,1631,159,0,1838,0,896,575,143
"909",124,1664,152,0,1862,0,913,583,147
"910",130,1644,142,0,1877,0,902,600,166
"911",122,1643,137,0,1902,0,903,586,163
"912",121,1636,143,0,1859,0,891,587,163
"913",129,1645,134,0,1892,0,920,576,150
"914",138,1634,135,0,1900,0,934,578,153
"915",135,1621,129,0,1883,0,898,574,167
"916",131,1646,128,0,1882,0,948,579,168
"917",140,1647,128,0,1856,0,934,583,163
"918",149,1629,127,0,1883,0,896,569,157
"919",149,1646,128,0,1936,0,896,597,156
"920",153,1672,128,0,1854,0,914,597,146
"921",144,1640,129,0,1837,0,913,606,148
"922",135,1648,121,0,1817,0,908,590,159
"923",144,1609,125,0,1851,0,928,592,168
"924",158,1650,120,0,1853,0,929,589,149
"925",165,1666,110,0,1919,0,913,582,153
"926",160,1622,101,0,1912,0,906,595,161
"927",167,1610,109,0,1860,0,955,577,165
"928",154,1631,112,0,1891,0,949,598,161
"929",152,1635,111,0,1888,0,942,598,163
"930",175,1651,111,0,1861,0,941,613,156
"931",157,1654,107,0,1852,0,924,602,156
"932",151,1661,112,0,1866,0,922,581,153
"933",160,1657,122,0,1883,0,913,577,153
"934",160,1674,109,0,1864,0,942,580,158
"935",166,1672,105,0,1860,0,959,577,152
"936",157,1671,108,0,1892,0,936,578,155
"937",146,1638,100,0,1877,0,973,574,156
"938",149,1645,98,0,1877,0,980,544,158
"939",146,1643,102,0,1855,0,978,549,167
"940",154,1672,104,0,1872,0,937,548,159
"941",160,1657,105,0,1880,0,946,550,167
"942",161,1647,99,0,1866,0,946,533,164
"943",166,1628,107,0,1889,0,947,524,160
"944",171,1624,112,0,1902,0,938,538,158
"945",178,1604,112,0,1877,0,950,519,158
"946",163,1595,124,0,1865,0,969,556,162
"947",167,1614,128,0,1844,0,973,550,160
"948",163,1622,135,0,1859,0,980,540,158
"949",167,1609,136,0,1872,0,957,535,160
"950",174,1595,142,0,1830,0,974,549,152
"951",173,1595,137,0,1836,0,1003,542,148
"952",169,1606,142,0,1825,0,993,515,160
"953",174,1603,140,0,1839,0,990,509,158
"954",176,1631,137,0,1865,0,948,516,154
"955",180,1625,126,0,1873,0,932,528,161
"956",171,1600,124,0,1885,0,1002,519,162
"957",161,1604,121,0,1859,0,985,528,170
"958",169,1592,131,0,1888,0,1017,545,158
"959",174,1591,143,0,1900,0,1005,539,160
"960",163,1624,152,0,1926,0,999,513,151
"961",158,1630,148,0,1886,0,987,506,156
"962",159,1642,139,0,1880,0,983,505,162
"963",168,1624,133,0,1916,0,972,534,168
"964",159,1636,129,0,1886,0,979,535,168
"965",154,1649,126,0,1877,0,966,545,170
"966",153,1654,116,0,1878,0,964,551,167
"967",149,1677,116,0,1863,0,965,558,159
"968",143,1680,118,0,1842,0,960,548,154
"969",139,1669,123,0,1858,0,952,523,153
"970",139,1659,131,0,1832,0,956,543,165
"971",141,1649,126,0,1867,0,951,553,158
"972",142,1660,124,0,1878,0,922,573,155
"973",147,1677,132,0,1867,0,900,579,150
"974",146,1646,138,0,1815,0,926,581,147
"975",137,1680,136,0,1875,0,910,610,145
"976",141,1684,130,0,1896,0,930,630,143
"977",137,1634,126,0,1877,0,920,622,144
"978",138,1600,122,0,1896,0,927,607,139
"979",141,1645,119,0,1887,0,931,621,141
"980",152,1625,131,0,1868,0,911,605,145
"981",135,1625,120,0,1900,0,950,592,145
"982",136,1658,120,0,1937,0,944,588,155
"983",138,1660,118,0,1930,0,954,589,144
"984",135,1653,109,0,1931,0,969,586,143
"985",140,1677,119,0,1904,0,975,595,143
"986",138,1653,128,0,1937,0,960,578,136
"987",138,1703,120,0,1890,0,966,585,143
"988",141,1658,119,0,1880,0,933,590,141
"989",141,1653,119,0,1879,0,941,606,147
"990",144,1655,117,0,1861,0,920,598,151
"991",154,1658,111,0,1883,0,917,593,148
"992",152,1677,116,0,1896,0,878,579,156
"993",154,1641,110,0,1882,0,900,578,159
"994",157,1665,119,0,1901,0,937,585,148
"995",159,1651,113,0,1891,0,945,598,152
"996",149,1595,115,0,1912,0,949,579,160
"997",152,1618,113,0,1860,0,948,586,162
"998",151,1620,128,0,1869,0,946,584,160
"999",142,1657,136,0,1875,0,967,582,159
"1000",133,1702,124,0,1867,0,929,585,150
