"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"136",144,1633,138,0,1847,0,812,740,146
"137",135,1655,139,0,1856,0,790,742,148
"138",142,1661,146,0,1849,0,805,745,144
"139",143,1657,138,0,1854,0,806,751,151
"140",136,1660,144,0,1851,0,805,740,148
"141",140,1639,141,0,1865,0,804,714,155
"142",135,1648,130,0,1851,0,786,725,154
"143",131,1643,135,0,1871,0,787,742,160
"144",133,1656,126,0,1876,0,802,751,165
"145",127,1657,126,0,1861,0,808,733,162
"146",122,1660,131,0,1832,0,821,745,164
"147",125,1657,126,0,1872,0,799,720,166
"148",132,1665,126,0,1888,0,798,698,157
"149",131,1646,126,0,1888,0,811,707,155
"150",126,1688,126,0,1894,0,825,711,152
"151",117,1657,131,0,1857,0,801,713,157
"152",128,1690,138,0,1866,0,766,732,161
"153",131,1660,133,0,1890,0,748,734,156
"154",127,1661,140,0,1856,0,791,711,163
"155",133,1661,150,0,1890,0,794,740,150
"156",134,1655,150,0,1879,0,825,726,156
"157",137,1623,149,0,1856,0,835,743,156
"158",134,1631,149,0,1855,0,846,715,155
"159",140,1617,139,0,1863,0,860,723,154
"160",147,1642,127,0,1893,0,858,718,148
"161",153,1628,134,0,1888,0,829,717,142
"162",145,1609,128,0,1856,0,807,726,151
"163",145,1618,143,0,1865,0,824,731,147
"164",151,1636,130,0,1868,0,835,704,150
"165",149,1606,136,0,1823,0,841,695,152
"166",148,1613,133,0,1810,0,820,708,152
"167",152,1634,137,0,1858,0,758,688,154
"168",146,1645,138,0,1859,0,796,697,150
"169",144,1613,136,0,1884,0,822,690,147
"170",144,1608,131,0,1865,0,814,683,146
"171",135,1646,128,0,1881,0,832,710,149
"172",139,1623,129,0,1856,0,815,703,147
"173",138,1631,133,0,1891,0,813,709,145
"174",144,1637,137,0,1875,0,822,712,148
"175",146,1615,131,0,1874,0,793,723,155
"176",141,1656,128,0,1866,0,820,724,162
"177",151,1647,132,0,1915,0,803,730,149
"178",151,1638,132,0,1903,0,801,743,153
"179",145,1615,140,0,1865,0,828,725,156
"180",151,1638,139,0,1892,0,811,716,153
"181",146,1653,151,0,1890,0,799,727,146
"182",144,1620,145,0,1879,0,809,731,147
"183",150,1602,155,0,1861,0,829,718,155
"184",156,1619,143,0,1902,0,814,718,144
"185",160,1559,148,0,1907,0,841,686,149
"186",154,1602,146,0,1905,0,834,705,152
"187",152,1590,150,0,1922,0,809,686,156
"188",149,1611,147,0,1844,0,810,695,154
"189",156,1614,149,0,1838,0,808,673,151
"190",153,1587,145,0,1892,0,800,682,157
"191",148,1622,150,0,1896,0,815,703,159
"192",153,1615,144,0,1899,0,799,680,154
"193",157,1602,139,0,1839,0,786,695,157
"194",159,1618,144,0,1864,0,802,703,162
"195",155,1629,150,0,1853,0,804,685,156
"196",157,1625,146,0,1855,0,829,690,151
"197",150,1610,143,0,1889,0,810,697,145
"198",151,1648,144,0,1875,0,857,672,152
"199",152,1614,140,0,1808,0,824,677,148
"200",143,1638,142,0,1842,0,836,687,153
"201",146,1599,133,0,1861,0,851,692,156
"202",141,1627,125,0,1850,0,846,709,151
"203",156,1650,124,0,1847,0,816,706,150
"204",161,1644,124,0,1885,0,827,680,153
"205",145,1646,131,0,1892,0,838,703,153
"206",159,1647,133,0,1859,0,825,713,159
"207",168,1633,139,0,1847,0,815,702,170
"208",171,1647,142,0,1883,0,855,698,171
"209",164,1612,138,0,1884,0,848,669,174
"210",172,1618,139,0,1922,0,860,672,162
"211",167,1625,132,0,1910,0,880,674,158
"212",171,1645,131,0,1909,0,865,661,166
"213",172,1621,121,0,1888,0,857,676,156
"214",189,1650,127,0,1911,0,814,687,157
"215",177,1628,132,0,1883,0,869,704,156
"216",174,1589,131,0,1920,0,865,693,156
"217",174,1604,126,0,1895,0,887,700,160
"218",170,1647,129,0,1892,0,890,696,152
"219",169,1638,129,0,1915,0,871,670,146
"220",158,1596,127,0,1946,0,866,665,152
"221",174,1597,130,0,1894,0,859,652,152
"222",169,1593,121,0,1901,0,875,664,157
"223",176,1574,121,0,1897,0,884,661,157
"224",177,1559,123,0,1903,0,857,645,153
"225",174,1592,124,0,1857,0,799,686,159
"226",182,1598,123,0,1857,0,864,690,154
"227",176,1620,122,0,1843,0,844,667,156
"228",184,1617,122,0,1850,0,837,668,156
"229",185,1633,134,0,1861,0,839,667,156
"230",170,1612,129,0,1861,0,868,670,166
"231",175,1576,133,0,1886,0,806,647,152
"232",172,1616,135,0,1860,0,816,656,150
"233",142,1635,137,0,1877,0,820,670,144
